pair_name,HOMO_NCM,SIFT_NCM,HOMO_time,SIFT_time,HOMO_status,SIFT_status
190222,1641,5,125.53,0.2,PASS,FAIL
190236,1388,10,133.86,0.12,PASS,FAIL
190295,1485,7,138.4,0.15,PASS,FAIL
190306,1656,4,125.29,0.14,PASS,FAIL
190319,1354,11,132.11,0.15,PASS,FAIL
190324,1371,9,139.46,0.13,PASS,FAIL
190441,1521,6,126.33,0.13,PASS,FAIL
190573,1313,9,138.56,0.13,PASS,FAIL
190630,1489,8,125.01,0.19,PASS,FAIL
190692,1311,5,139.52,0.16,PASS,FAIL
190786,1305,10,136.46,0.13,PASS,FAIL
200129,1724,6,114.97,0.13,PASS,FAIL
210080,1312,5,156.4,0.17,PASS,FAIL
210128,1538,5,140.78,0.14,PASS,FAIL
210239,1046,0,134.13,0.15,PASS,FAIL
210335,1481,4,121.73,0.13,PASS,FAIL
210354,1284,4,123.06,0.13,PASS,FAIL
210381,1358,4,120.65,0.13,PASS,FAIL
210397,1309,4,120.52,0.12,PASS,FAIL
210401,1995,5,100.46,0.13,PASS,FAIL
210406,1208,4,123.33,0.13,PASS,FAIL
220137,2023,12,99.63,0.15,PASS,FAIL
220179,1758,8,103.53,0.14,PASS,FAIL
220221,992,5,123.75,0.18,PASS,FAIL
220296,1039,11,118.98,0.16,PASS,FAIL
220330,1070,6,117.19,0.17,PASS,FAIL
230219,994,0,128.48,0.16,PASS,FAIL
230252,1193,4,123.86,0.15,PASS,FAIL
230274,1117,4,120.4,0.14,PASS,FAIL
230384,864,0,128.86,0.14,PASS,FAIL
230423,1236,4,118.29,0.15,PASS,FAIL
230459,1055,0,123.39,0.14,PASS,FAIL
240030,1748,6,123.81,0.17,PASS,FAIL
240091,1637,5,130.49,0.17,PASS,FAIL
240179,1590,5,140.26,0.18,PASS,FAIL
240190,1832,5,129.15,0.16,PASS,FAIL
240214,1522,0,138.19,0.17,PASS,FAIL
240258,1455,7,141.18,0.18,PASS,FAIL
240266,1616,14,137.53,0.19,PASS,FAIL
240402,1648,4,133.5,0.17,PASS,FAIL
240427,1710,7,134.21,0.18,PASS,FAIL
240453,1312,7,144.28,0.19,PASS,FAIL
260006,2577,9,88.22,0.29,PASS,FAIL
260032,2722,12,83.47,0.24,PASS,FAIL
260132,1710,4,132.82,0.17,PASS,FAIL
260162,2767,9,84.03,0.29,PASS,FAIL
260259,1733,4,104.74,0.15,PASS,FAIL
260415,1931,5,109.94,0.16,PASS,FAIL
260431,1716,4,118.55,0.14,PASS,FAIL
260536,2746,16,84.16,0.25,PASS,FAIL
